Code,District
101,TAITA
102,KILIFI
103,TANA RIVER
104,LAMU WEST
105,KWALE
106,MOMBASA
107,MALINDI
108,LIKONI
109,KINANGO
110,MSAMBWENI
111,KALOLENI
112,DELTA
113,TAVETA
114,MWATATE
115,VOI
116,GANZE
117,TANA NORTH
118,LAMU EAST
119,MAGARINI
120,CHANGAMWE
121,KISAUNI
122,RABAI
201,NYANDARUA NORTH
202,NYERI CENTRAL
203,KIRINYAGA CENTRAL
204,MURANG'A EAST
205,KIAMBU
207,THIKA WEST
208,MURANG'A SOUTH
209,NYANDARUA SOUTH
210,KIENI EAST
211,LIMURU
212,GATUNDU SOUTH
213,NYANDARUA CENTRAL
214,NYANDARUA WEST
215,KIPIPIRI
216,KINANGOP
217,MATHIRA EAST
218,MATHIRA WEST
219,MUKURWEINI
220,KIENI WEST
221,TETU
222,KIRINYAGA EAST
223,KIRINYAGA WEST
224,MWEA EAST
225,MIRANGINE
226,KANDARA
227,KIGUMO
228,MATHIOYA
229,KANGEMA
230,KIKUYU
231,LARI
232,GITHUNGURI
233,THIKA EAST
234,GATANGA
235,RUIRU
236,GATUNDU NORTH
237,NYERI SOUTH
238,KAHURO
239,MWEA WEST
301,MACHAKOS
302,KITUI CENTRAL
303,EMBU WEST
304,IMENTI NORTH
305,MARSABIT
306,ISIOLO
307,MAKUENI
308,MERU SOUTH
309,IGEMBE SOUTH
310,MWINGI CENTRAL
311,MOYALE
312,MBEERE NORTH
313,THARAKA SOUTH
314,MWALA
315,YATTA
316,KANGUNDO
317,MUTOMO
318,MERU CENTRAL
319,IMENTI SOUTH
320,CHALBI
321,LAISAMIS
322,GARBATULA
323,MBOONI WEST
324,NZAUI
325,KIBWEZI
326,MAARA
327,TIGANIA WEST
328,KYUSO
329,KATHIANI
330,RIVER
331,KITUI WEST
332,MUTITO
333,EMBU EAST
334,BUURI
335,KATHONZWENI
336,KILUNGU
337,IGEMBE NORTH
338,MWINGI EAST
339,MWINGI WEST
340,SOLOLO
341,MBEERE SOUTH
342,THARAKA NORTH
343,MASINGA
344,LOWER YATTA
345,MATUNGULU
346,MBOONI EAST
347,MUKAA
348,MAKINDU
349,TIGANIA EAST
350,MUUMONI
351,NZAMBANI
352,TSEIKURU
353,KATULANI
354,KISASI
355,EMBU NORTH
356,MERTI
357,IKUTHA
358,NORTH HORR
359,LOIYANGALANI
360,MATINYANI
401,MAKADARA
402,KAMUKUNJI
403,STAREHE
404,LANGATA
405,DAGORETTI
406,WESTLANDS
407,KASARANI
408,EMBAKASI
409,NJIRU
501,TURKANA CENTRAL
502,SAMBURU CENTRAL
503,TRANS NZOIA WEST
505,WEST POKOT
508,BOMET
509,ELDORET WEST
511,NAKURU
512,KERICHO
513,NANDI CENTRAL
514,LAIKIPIA EAST
515,KAJIADO CENTRAL
516,NAROK NORTH
517,BARINGO CENTRAL
518,KEIYO
519,TRANS MARA WEST
520,MARAKWET WEST
521,KOIBATEK
522,BURETI
523,NANDI SOUTH
524,TURKANA NORTH
525,TURKANA SOUTH
526,SAMBURU EAST
527,SAMBURU NORTH
528,TRANS NZOIA EAST
529,KWANZA
530,NORTH POKOT
531,POKOT CENTRAL
532,EAST POKOT
533,SOTIK
534,ELDORET EAST
535,WARENG
536,NAKURU NORTH
537,NAIVASHA
538,MOLO
539,KIPKELION
540,NANDI NORTH
541,NANDI EAST
542,TINDERET
543,LAIKIPIA NORTH
544,LAIKIPIA WEST
545,LOITOKITOK
546,NAROK SOUTH
547,BARINGO NORTH
548,TURKANA EAST
549,TURKANA WEST
550,LOIMA
551,CHEPALUNGU
552,RONGAI
553,BELGUT
555,LAIKIPIA CENTRAL
556,NYAHURURU
557,KAJIADO NORTH
558,MARIGAT
559,KEIYO SOUTH
560,TRANS MARA EAST
561,MARAKWET EAST
562,MOGOTIO
563,KONOIN
564,NJORO
565,KURESOI
566,MASHURU
567,ISINYA
568,POKOT SOUTH
569,SUBUKIA
570,GILGIL
571,LONDIANI
601,BUSIA
602,BUNGOMA SOUTH
603,KAKAMEGA CENTRAL
604,VIHIGA
605,MT. ELGON
606,TESO NORTH
607,LUGARI
608,BUTERE
609,SAMIA
610,BUNYALA
611,BUNGOMA NORTH
612,BUNGOMA CENTRAL
613,BUNGOMA EAST
614,KAKAMEGA NORTH
615,KAKAMEGA SOUTH
616,KAKAMEGA EAST
617,MUMIAS
618,EMUHAYA
619,HAMISI
620,TESO SOUTH
621,KIMILILI
622,SABATIA
623,BUTULA
624,MATETE
625,KHWISERO
626,BUNGOMA WEST
627,MATUNGU
628,BUMULA
629,NAMBALE
630,CHEPTAIS
631,LIKUYANI
632,NAVAKHOLO
701,KISUMU EAST
703,KISII CENTRAL
704,HOMA BAY
705,SIAYA
706,NYAMIRA
707,MIGORI
708,KURIA WEST
709,SUBA
710,RACHUONYO SOUTH
711,GUCHA
712,BONDO
713,NYANDO
714,KISUMU WEST
715,MASABA NORTH
716,KISII SOUTH
717,RONGO
718,KURIA EAST
719,SOUTH GUCHA
720,BORABU
721,RARIEDA
722,MANGA
723,MARANI
724,NDHIWA
725,UGENYA
726,GEM
727,KENYENYA
728,NYAMIRA NORTH
729,NYATIKE
730,MBITA
731,RACHUONYO NORTH
732,NYAMACHE
733,NYAKACH
734,MUHORONI
735,SOUTH MASABA
736,URIRI
737,KISUMU NORTH
738,UGUNJA
739,AWENDO
740,SAMETA
801,GARISSA
802,WAJIR EAST
803,MANDERA EAST
804,IJARA
805,LAGDERA
806,FAFI
807,WAJIR NORTH
808,WAJIR WEST
809,WAJIR SOUTH
810,MANDERA WEST
811,MANDERA CENTRAL
812,MANDERA NORTH
813,ELDAS
814,LAFEY
815,DADAAB
816,BALAMBALA
817,BANISA
818,TABAARJI
819,BUNA
820,HABASWEIN
821,HULUGHO
955,Private RiftValley
970,Private Kisumu
971,Private Kisumu
999,INVALID
